k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
8,227,1196,1,1,1,0,0,0
8,232,1224,0,1,0,0,0,0
8,243,1280,1,0,0,0,0,0
8,276,1457,1,0,0,0,0,0
8,322,1700,1,1,1,0,0,0
8,335,1767,1,1,1,0,0,0
8,371,1960,1,1,1,0,0,0
8,384,2024,1,1,1,0,0,0
8,414,2184,1,1,1,0,0,0
8,450,2375,1,1,1,0,0,0
8,489,2583,1,1,1,0,0,0
8,490,2583,1,1,1,0,0,0
8,512,2700,0,1,0,0,0,0
8,521,2750,0,1,0,0,0,0
8,554,2924,1,1,1,0,0,0
8,592,3128,1,1,1,0,0,0
8,593,3128,1,1,1,0,0,0
8,719,3800,1,1,1,0,0,0
8,720,3800,1,1,1,0,0,0
8,775,4095,1,0,0,0,0,0
8,776,4095,1,0,0,0,0,0
8,792,4179,1,1,1,0,0,0
8,871,4599,1,1,1,0,0,0
8,1676,8855,1,0,0,0,0,0
8,1744,9215,1,0,0,0,0,0
8,1956,10335,1,1,1,0,0,0
8,2437,12879,1,0,0,0,0,0
8,2438,12879,1,0,0,0,0,0
8,2620,13845,1,1,1,0,0,0
8,2713,14336,1,0,0,0,0,0
